timestamp,close,open,high,low,volume,Slow K Stoch,Slow D Stock,EMA20,MA5,MA10,,WVAD,RSI,,TEDRATE,TradeWeightedUSDollarIndex,VIX close
8/8/16,218.05,218.4,218.52,217.74,39906479,83.7524,68.1533,215.7144,216.8738,216.8469,2169.909,-11.007,64.1278,63.5006,0.53,121.3068,11.5
8/9/16,218.18,218.13,218.76,217.8,51251728,91.6255,82.2967,215.9492,217.3999,216.9899,2171.165,-12.8603,64.5383,63.7743,0.54,120.8514,11.66
8/10/16,217.64,218.31,218.4038,217.23,57941092,83.7663,86.3814,216.1102,217.6919,217.1019,2172.056,-24.8337,61.3954,60.2002,0.54,120.414,12.05
8/11/16,218.65,218.26,218.94,217.95,72504270,82.266,85.8859,216.3521,218.14,217.2899,2173.629,-6.1834,64.8439,63.8007,0.54,120.2734,11.68
8/12/16,218.46,218.29,218.71,217.99,61313544,77.196,81.0761,216.5529,218.196,217.4239,2174.674,-10.2345,63.6913,62.7677,0.49,120.2762,11.55
8/15/16,219.09,218.89,219.5,218.88,49813482,79.4534,79.6385,216.7945,218.404,217.6389,2176.605,-7.8095,65.8584,64.9125,0.53,119.9945,11.81
8/16/16,217.96,218.6,218.68,217.96,53213621,62.0089,72.8861,216.9055,218.36,217.88,2178.717,-29.3333,59.0504,57.852,0.51,119.4999,12.64
8/17/16,218.37,218,218.53,217.02,75134339,56.1775,65.8799,217.045,218.506,218.099,2180.56,-21.5238,60.6403,59.4625,0.52,120.0677,12.19
8/18/16,218.86,218.34,218.9,218.21,52989266,53.5959,57.2608,217.2178,218.548,218.344,2182.837,-12.1905,62.5134,61.3388,0.53,119.4345,11.43
8/19/16,218.54,218.31,218.75,217.74,75443004,63.3065,57.6933,217.3437,218.564,218.38,2182.937,-18.2857,60.4888,59.396,0.54,119.9713,11.34
8/22/16,218.53,218.26,218.8,217.83,61368766,71.9343,62.9456,217.4567,218.452,218.428,2183.112,-18.4762,60.423,58.6151,0.53,120.1747,12.27
8/23/16,218.97,219.25,219.6,218.9,53399159,72.397,69.2126,217.6008,218.654,218.507,2183.628,-11.7757,62.3645,60.5492,0.52,120.1091,12.38
8/24/16,217.85,218.8,218.91,217.36,71728949,59.2585,67.8633,217.6246,218.55,218.528,2183.623,-67.8295,54.9719,53.3287,0.5,120.5087,13.45
