timestamp,close,open,high,low,EMA20,MA5,MA10,SlowK,SlowD,WVAD
10/27/17,2581.0701,2570.26,2582.98,2565.9399,2551.895,2566.5459,2564.83,60.4254,55.7391,-4.8997
10/30/17,2572.8301,2577.75,2580.03,2568.25,2553.8888,2568.116,2566.349,72.2962,61.5755,-26.0388
10/31/17,2575.26,2575.99,2578.29,2572.1499,2555.9241,2569.342,2567.939,83.0855,71.9357,-19.805
11/1/17,2579.3601,2583.21,2588.3999,2574.9199,2558.1561,2573.784,2569.749,74.1828,76.5215,-20.3599
11/2/17,2579.8501,2579.46,2581.1101,2566.1699,2560.2222,2577.6741,2571.524,70.1734,75.8139,-19.2564
11/3/17,2587.8401,2581.9299,2588.4199,2576.77,2562.8525,2579.0281,2572.787,75.9064,73.4209,-1.3053
11/6/17,2591.1299,2587.47,2593.3799,2585.6599,2565.5456,2582.688,2575.402,83.686,76.5886,-4.5565
11/7/17,2590.6399,2592.1101,2597.02,2584.3501,2567.9355,2585.764,2577.553,89.4813,83.0246,-12.0334
11/8/17,2594.3799,2588.71,2595.47,2585.02,2570.454,2588.768,2581.276,87.4973,86.8882,-4.9795
11/9/17,2584.6201,2584,2586.5,2566.3301,2571.8032,2589.722,2583.698,76.7857,84.5881,-23.3872
11/10/17,2582.3,2580.1799,2583.8101,2575.5701,2572.8029,2588.614,2583.821,67.6916,77.3249,-27.763
11/13/17,2584.8401,2576.53,2587.6599,2574.48,2573.9493,2587.356,2585.022,57.3152,67.2642,-22.9723
11/14/17,2578.8701,2577.75,2579.6599,2566.5601,2574.4179,2585.0021,2585.383,51.7945,58.9338,-48.7639
11/15/17,2564.6201,2569.45,2572.8401,2557.45,2573.4848,2579.0501,2583.909,42.3604,50.49,-81.8798
11/16/17,2585.6399,2572.95,2590.0901,2572.95,2574.6424,2579.2541,2584.488,51.0447,48.3999,-28.7594
11/17/17,2578.8501,2582.9399,2583.96,2577.6201,2575.0432,2578.5641,2583.589,58.5547,50.6533,-45.9183
11/20/17,2582.1399,2579.49,2584.6399,2578.24,2575.719,2578.024,2582.69,75.8576,61.819,-37.6045
